Difference (cm^-1),Computational Frequency (cm^-1),Scaled Computational Frequency (cm^-1),Selected Experimental Frequency (cm^-1),Computational Intensity,Computational Relative Intensity,Computational Reduced Mass,Computational Frequency Constant
4.064655099999868,753.0079,729.6646550999999,725.6,61.5315,1,1.192,0.3982
6.765813600000001,489.9544,474.7658136,468,20.1036,0.3267,2.3616,0.334
14.835730300000023,921.7087,893.1357303,878.3,36.0245,0.5855,1.4556,0.7286
1.5418514000000414,773.8306,749.8418514,748.3,69.8588,0.25,1.171,0.4131
2.358898000000181,1452.158,1407.1411019999998,1409.5,185.782,0.6648,5.5745,6.9261
5.1961336000001666,1401.2344,1357.796134,1352.6,279.4589,1,8.505,9.8389
6.977077800000188,1581.9638,1532.922922,1539.9,94.1121,0.3368,4.3174,6.3659
1.4771511999999802,1147.4952,1111.922849,1113.4,15.8255,0.1441,1.2373,0.9599
4.832425799999896,842.0718,815.9675742000001,820.8,15.7749,0.1437,5.2585,2.1969
5.292883200000006,781.9328,757.6928832,752.4,109.8098,1,1.2935,0.466
6.416400199999998,609.3742,590.4835998,596.9,13.5598,0.1235,7.1045,1.5544
5.246591200000012,1410.2648,1366.546591,1361.3,91.8831,0.1601,2.8924,3.3893
5.862486199999921,785.7198,761.3624861999999,755.5,101.8146,0.1774,1.2661,0.4605
19.186234300000024,1336.7247,1295.286234,1276.1,573.8234,1,6.1121,6.4347
23.235008799999832,1416.1352,1372.2350087999998,1349,454.415,0.7919,11.5556,13.6537
0.10365379999996094,746.3402,723.2036538,723.1,102.8724,0.1709,1.2779,0.4194
4.735399500000085,1370.9645,1328.464601,1333.2,602.0097,1,11.1047,12.2973
8.912008799999967,3149.1352,3051.512009,3042.6,111.369,0.185,1.0895,6.3658
0.8959743,1593.1847,1543.795974,1542.9,9.5829,0.2374,4.5677,6.8309
2.390114399999902,924.7576,896.0901144,893.7,27.2168,0.6744,2.3816,1.2
3.8039486000000124,834.3694,808.5039486000001,804.7,8.823,0.2186,4.52,1.854
